,[Substrate]/µM,Reaction Rate
0,0.0,-0.19938983116985637
1,7.142857142857143,0.41752679727278497
2,14.285714285714286,1.0607040254110283
3,21.42857142857143,1.239237800031412
4,28.571428571428573,1.2940640340611846
5,35.714285714285715,1.7517432037274423
6,42.85714285714286,1.8384428990558337
7,50.0,2.0443997572642
8,57.142857142857146,1.9457308670882012
9,64.28571428571429,2.0659561884399316
10,71.42857142857143,2.1505862893097496
11,78.57142857142857,2.3018640893926703
12,85.71428571428572,2.4173397256544047
13,92.85714285714286,2.311262487737585
14,100.0,2.5407521061450953
